year_week_iso,reporting_country,num_doses_recv,num_doses_exported,first_dose,first_dose_refused,second_dose,unknown_dose,target_group,vaccine
03/01/2022,FM,761,4451,2475,23,565,74,Age<18,QAZVAQ
03/01/2022,FM,1821,7970,6728,58,505,72,Age<18,SGSK
03/01/2022,FM,1255,1769,6607,97,944,44,Age<18,SIICOV
03/01/2022,FM,5980,3325,2522,23,493,97,Age<18,SIN
03/01/2022,FM,7988,2711,526,30,264,83,Age<18,SPU
03/01/2022,FM,3100,9359,7054,13,731,23,Age<18,SPUL
03/01/2022,FM,9281,6674,6049,61,439,100,Age<18,SRCVB
03/01/2022,FM,1772,2403,8325,26,789,18,Age<18,WUCNBG
03/01/2022,FM,222,4728,5176,67,505,86,Age<18,CNBG
03/01/2022,FM,4309,7248,3944,62,126,46,Age<18,UNK
03/01/2022,FM,8814,4009,4663,56,471,58,Age<18,ZFUZ
03/01/2022,FM,9121,6888,1090,36,439,0,HCW,AZ
03/01/2022,FM,9240,6919,8919,48,147,67,HCW,BECNBG
03/01/2022,FM,7184,5862,8842,91,596,40,HCW,BHACOV
03/01/2022,FM,9159,7220,5649,55,420,22,HCW,CHU
03/01/2022,FM,6205,9861,6245,96,946,51,HCW,COM
03/01/2022,FM,3014,5648,9098,56,103,99,HCW,CVAC
03/01/2022,FM,2825,9711,5263,13,305,44,HCW,JANSS
03/01/2022,FM,5951,9107,2025,81,238,5,HCW,HAYATVAC
03/01/2022,FM,6411,6636,6480,78,643,32,HCW,MOD
03/01/2022,FM,4738,8090,7224,86,887,86,HCW,NVX
03/01/2022,FM,7705,364,5100,58,439,80,HCW,NVXD
03/01/2022,FM,5792,5407,8040,81,450,4,HCW,QAZVAQ
03/01/2022,FM,599,7164,7252,76,148,24,HCW,SGSK
03/01/2022,FM,8607,778,7066,19,186,65,HCW,SIICOV
03/01/2022,FM,2602,8951,7471,55,83,100,HCW,SIN
03/01/2022,FM,4673,3069,8450,56,595,83,HCW,SPU
03/01/2022,FM,963,9029,180,58,510,41,HCW,SPUL
03/01/2022,FM,2860,5932,2790,97,635,3,HCW,SRCVB
03/01/2022,FM,7957,4467,2783,69,796,29,HCW,WUCNBG
03/01/2022,FM,1836,6387,606,6,390,50,HCW,CNBG
03/01/2022,FM,9160,1852,3335,59,850,37,HCW,UNK
03/01/2022,FM,9006,5165,7890,56,747,27,HCW,ZFUZ
03/01/2022,FM,9300,2028,1630,14,520,82,LTCF,AZ
03/01/2022,FM,1975,5186,9612,17,344,4,LTCF,BECNBG
03/01/2022,FM,4185,3424,1705,81,320,38,LTCF,BHACOV
03/01/2022,FM,5507,9546,1274,99,834,100,LTCF,CHU
03/01/2022,FM,7330,830,5064,86,308,78,LTCF,COM
03/01/2022,FM,9025,4856,8420,16,2,81,LTCF,CVAC
03/01/2022,FM,9213,3791,8387,95,648,27,LTCF,JANSS
03/01/2022,FM,506,9619,8743,78,999,74,LTCF,HAYATVAC
03/01/2022,FM,4852,4982,5626,17,124,20,LTCF,MOD
03/01/2022,FM,8709,8738,2823,18,101,7,LTCF,NVX
03/01/2022,FM,9495,4350,1990,44,338,76,LTCF,NVXD
03/01/2022,FM,8411,4563,5855,71,974,54,LTCF,QAZVAQ
03/01/2022,FM,2768,6769,2565,35,814,67,LTCF,SGSK
03/01/2022,FM,9937,284,2937,41,455,96,LTCF,SIICOV
03/01/2022,FM,6590,1107,8494,63,466,31,LTCF,SIN
03/01/2022,FM,657,7893,6002,90,212,4,LTCF,SPU
03/01/2022,FM,560,1846,2387,79,161,7,LTCF,SPUL
03/01/2022,FM,6704,5949,3621,18,546,25,LTCF,SRCVB
03/01/2022,FM,6428,1506,4024,100,549,48,LTCF,WUCNBG
03/01/2022,FM,6099,7172,4800,83,735,8,LTCF,CNBG
03/01/2022,FM,52,3302,7648,73,817,72,LTCF,UNK
03/01/2022,FM,7332,8978,2285,45,821,55,LTCF,ZFUZ
03/01/2022,FM,624,2426,4427,90,521,35,Age0_4,AZ
03/01/2022,FM,1,3944,9616,66,46,64,Age0_4,BECNBG
03/01/2022,FM,5811,6244,8036,36,344,21,Age0_4,BHACOV
03/01/2022,FM,4742,3757,2830,47,74,58,Age0_4,CHU
03/01/2022,FM,5742,9281,3801,37,157,38,Age0_4,COM
03/01/2022,FM,3619,5539,8082,3,538,95,Age0_4,CVAC
03/01/2022,FM,4721,8243,8366,84,208,40,Age0_4,JANSS
03/01/2022,FM,4892,6366,1889,67,927,95,Age0_4,HAYATVAC
03/01/2022,FM,552,7243,3868,7,109,76,Age0_4,MOD
03/01/2022,FM,2693,1480,9123,100,150,66,Age0_4,NVX
03/01/2022,FM,6588,1987,7298,95,255,60,Age0_4,NVXD
03/01/2022,FM,7629,967,892,58,514,75,Age0_4,QAZVAQ
03/01/2022,FM,6650,5235,6074,80,196,86,Age0_4,SGSK
03/01/2022,FM,4180,8750,4596,57,574,65,Age0_4,SIICOV
03/01/2022,FM,2395,3159,5591,40,133,29,Age0_4,SIN
03/01/2022,FM,1551,8917,6988,52,916,4,Age0_4,SPU
03/01/2022,FM,1840,1787,6087,52,534,87,Age0_4,SPUL
03/01/2022,FM,9791,6805,245,37,546,10,Age0_4,SRCVB
03/01/2022,FM,370,4812,2648,75,447,12,Age0_4,WUCNBG
03/01/2022,FM,4154,1076,412,83,244,73,Age0_4,CNBG
03/01/2022,FM,9323,2122,8855,21,855,100,Age0_4,UNK
03/01/2022,FM,2550,3944,6042,81,300,8,Age0_4,ZFUZ
03/01/2022,FM,1074,9715,6018,80,688,68,Age5_9,AZ
03/01/2022,FM,8961,2134,6224,17,217,19,Age5_9,BECNBG
03/01/2022,FM,5477,6822,377,53,514,8,Age5_9,BHACOV
03/01/2022,FM,2776,4595,5521,71,668,49,Age5_9,CHU
03/01/2022,FM,8326,1693,7500,86,182,79,Age5_9,COM
03/01/2022,FM,6012,5788,9529,77,254,6,Age5_9,CVAC
03/01/2022,FM,4383,7316,7146,65,366,71,Age5_9,JANSS
03/01/2022,FM,2909,327,948,0,441,68,Age5_9,HAYATVAC
03/01/2022,FM,9568,1926,5673,78,268,30,Age5_9,MOD
03/01/2022,FM,8626,9437,5432,8,942,50,Age5_9,NVX
03/01/2022,FM,9550,9827,7120,61,543,6,Age5_9,NVXD
03/01/2022,FM,7851,5348,9853,54,735,16,Age5_9,QAZVAQ
03/01/2022,FM,3467,1055,660,61,782,36,Age5_9,SGSK
03/01/2022,FM,207,8219,1467,23,434,14,Age5_9,SIICOV
03/01/2022,FM,4262,3345,7453,38,973,89,Age5_9,SIN
03/01/2022,FM,1852,503,5474,34,583,82,Age5_9,SPU
03/01/2022,FM,2576,443,6959,31,414,58,Age5_9,SPUL
03/01/2022,FM,4866,634,3839,13,122,58,Age5_9,SRCVB
03/01/2022,FM,2127,8696,7949,16,544,59,Age5_9,WUCNBG
03/01/2022,FM,1999,6364,2347,92,31,76,Age5_9,CNBG
03/01/2022,FM,2088,3740,3206,84,917,47,Age5_9,UNK
03/01/2022,FM,626,1798,5788,46,130,86,Age5_9,ZFUZ
03/01/2022,FM,6283,9289,6381,81,963,25,Age10_14,AZ
03/01/2022,FM,9254,2399,3946,25,346,54,Age10_14,BECNBG
03/01/2022,FM,6210,1191,6099,54,692,7,Age10_14,BHACOV
03/01/2022,FM,4277,1424,3071,53,247,30,Age10_14,CHU
03/01/2022,FM,3950,8710,2708,4,980,36,Age10_14,COM
03/01/2022,FM,9739,2288,4398,58,525,66,Age10_14,CVAC
03/01/2022,FM,6026,6014,9327,68,850,45,Age10_14,JANSS
03/01/2022,FM,1257,4590,122,57,719,45,Age10_14,HAYATVAC
03/01/2022,FM,1944,8691,332,72,64,5,Age10_14,MOD
03/01/2022,FM,9774,4814,8845,93,403,41,Age10_14,NVX
03/01/2022,FM,45,8637,8296,61,542,97,Age10_14,NVXD
03/01/2022,FM,6427,9251,5054,91,927,89,Age10_14,QAZVAQ
03/01/2022,FM,997,3448,1761,34,269,10,Age10_14,SGSK
03/01/2022,FM,4497,6172,9352,47,538,43,Age10_14,SIICOV
03/01/2022,FM,1710,5997,4890,13,103,81,Age10_14,SIN
03/01/2022,FM,605,6582,7729,80,978,21,Age10_14,SPU
03/01/2022,FM,8432,1492,4302,16,585,90,Age10_14,SPUL
03/01/2022,FM,4036,2489,7997,14,576,64,Age10_14,SRCVB
03/01/2022,FM,124,9374,6315,33,81,3,Age10_14,WUCNBG
03/01/2022,FM,9781,6792,357,80,667,23,Age10_14,CNBG
03/01/2022,FM,1081,5108,3440,9,427,79,Age10_14,UNK
03/01/2022,FM,2851,9283,5098,74,188,76,Age10_14,ZFUZ
03/01/2022,FM,2916,5096,6417,67,743,47,Age15_17,AZ
03/01/2022,FM,2100,5804,4367,8,952,91,Age15_17,BECNBG
03/01/2022,FM,4987,674,7961,57,904,77,Age15_17,BHACOV
03/01/2022,FM,6612,5719,6382,8,208,32,Age15_17,CHU
03/01/2022,FM,2694,5074,6782,52,724,60,Age15_17,COM
03/01/2022,FM,1040,1593,9839,27,36,90,Age15_17,CVAC
03/01/2022,FM,6466,3420,1067,15,594,82,Age15_17,JANSS
03/01/2022,FM,9644,7939,7043,68,191,0,Age15_17,HAYATVAC
03/01/2022,FM,2836,2481,731,66,276,22,Age15_17,MOD
03/01/2022,FM,8934,8798,7937,33,74,42,Age15_17,NVX
03/01/2022,FM,7794,5453,8192,92,938,26,Age15_17,NVXD
03/01/2022,FM,2928,2500,6975,76,31,48,Age15_17,QAZVAQ
03/01/2022,FM,2771,307,3381,1,910,15,Age15_17,SGSK
03/01/2022,FM,9670,1523,4905,42,13,55,Age15_17,SIICOV
03/01/2022,FM,35,7561,3643,51,880,28,Age15_17,SIN
03/01/2022,FM,4600,5602,1141,19,628,53,Age15_17,SPU
03/01/2022,FM,8168,8465,532,53,661,79,Age15_17,SPUL
03/01/2022,FM,5403,4048,1137,81,39,84,Age15_17,SRCVB
03/01/2022,FM,191,670,9887,82,575,50,Age15_17,WUCNBG
03/01/2022,FM,314,8054,7404,91,872,33,Age15_17,CNBG
03/01/2022,FM,2946,3007,8309,30,77,65,Age15_17,UNK
03/01/2022,FM,3910,6975,7290,86,639,98,Age15_17,ZFUZ
03/01/2022,FM,6244,9999,1624,19,504,86,Age18_24,AZ
03/01/2022,FM,6525,1248,8828,49,65,19,Age18_24,BECNBG
03/01/2022,FM,7471,4096,7572,2,616,8,Age18_24,BHACOV
03/01/2022,FM,6920,5160,846,33,706,94,Age18_24,CHU
03/01/2022,FM,1373,5375,2662,78,1,13,Age18_24,COM
03/01/2022,FM,5959,4564,8157,57,642,67,Age18_24,CVAC
03/01/2022,FM,7347,4696,8444,56,159,15,Age18_24,JANSS
03/01/2022,FM,6978,2079,5600,71,556,26,Age18_24,HAYATVAC
03/01/2022,FM,3520,2274,1297,15,486,1,Age18_24,MOD
03/01/2022,FM,675,9759,3778,67,398,65,Age18_24,NVX
03/01/2022,FM,267,4250,4683,90,683,69,Age18_24,NVXD
03/01/2022,FM,6658,8713,4427,17,846,41,Age18_24,QAZVAQ
03/01/2022,FM,8241,56,2503,35,170,8,Age18_24,SGSK
03/01/2022,FM,1241,6075,7947,70,80,62,Age18_24,SIICOV
03/01/2022,FM,5909,3502,4108,85,25,75,Age18_24,SIN
03/01/2022,FM,7732,531,5468,40,466,60,Age18_24,SPU
03/01/2022,FM,8714,8806,7386,27,673,44,Age18_24,SPUL
03/01/2022,FM,4034,741,1611,28,6,50,Age18_24,SRCVB
03/01/2022,FM,5079,216,3856,8,883,32,Age18_24,WUCNBG
03/01/2022,FM,6373,6697,1534,39,768,20,Age18_24,CNBG
03/01/2022,FM,4323,1963,6510,86,515,95,Age18_24,UNK
03/01/2022,FM,5671,6299,3448,81,111,14,Age18_24,ZFUZ
03/01/2022,FM,1170,4417,9795,76,72,62,Age25_49,AZ
03/01/2022,FM,4183,1512,8547,1,193,10,Age25_49,BECNBG
03/01/2022,FM,4822,5071,165,94,386,80,Age25_49,BHACOV
03/01/2022,FM,623,3567,4339,19,353,34,Age25_49,CHU
03/01/2022,FM,1624,2903,3739,72,1,96,Age25_49,COM
03/01/2022,FM,5130,1478,6250,22,230,69,Age25_49,CVAC
03/01/2022,FM,4236,6280,9850,24,887,31,Age25_49,JANSS
03/01/2022,FM,1888,8529,4826,45,224,53,Age25_49,HAYATVAC
03/01/2022,FM,519,4952,9902,51,233,52,Age25_49,MOD
03/01/2022,FM,2784,9087,1667,56,644,48,Age25_49,NVX
03/01/2022,FM,7052,981,6524,35,610,16,Age25_49,NVXD
03/01/2022,FM,9319,9710,7401,55,923,82,Age25_49,QAZVAQ
03/01/2022,FM,1415,5012,1502,86,538,39,Age25_49,SGSK
03/01/2022,FM,86,131,7981,18,480,46,Age25_49,SIICOV
03/01/2022,FM,5658,3223,2467,37,635,46,Age25_49,SIN
03/01/2022,FM,6858,3933,1699,83,86,87,Age25_49,SPU
03/01/2022,FM,3519,72,5606,53,845,28,Age25_49,SPUL
03/01/2022,FM,6055,2778,4743,37,492,63,Age25_49,SRCVB
03/01/2022,FM,8583,1061,854,96,863,46,Age25_49,WUCNBG
03/01/2022,FM,7145,5521,9630,44,69,35,Age25_49,CNBG
03/01/2022,FM,3791,1829,219,29,103,46,Age25_49,UNK
03/01/2022,FM,5671,9098,4675,86,414,42,Age25_49,ZFUZ
03/01/2022,FM,8016,236,4302,78,310,49,Age50_59,AZ
03/01/2022,FM,8074,1828,5372,90,815,37,Age50_59,BECNBG
03/01/2022,FM,4397,9817,4941,87,706,14,Age50_59,BHACOV
03/01/2022,FM,8929,556,6319,16,615,85,Age50_59,CHU
03/01/2022,FM,2739,6931,5134,27,550,75,Age50_59,COM
03/01/2022,FM,6043,8609,4007,11,852,25,Age50_59,CVAC
03/01/2022,FM,3993,8417,5417,67,772,22,Age50_59,JANSS
03/01/2022,FM,6976,410,6334,5,574,41,Age50_59,HAYATVAC
03/01/2022,FM,3846,7519,8788,62,39,36,Age50_59,MOD
03/01/2022,FM,5913,7043,5378,55,19,58,Age50_59,NVX
03/01/2022,FM,9569,8393,6532,66,43,59,Age50_59,NVXD
03/01/2022,FM,804,6108,3026,74,559,24,Age50_59,QAZVAQ
03/01/2022,FM,691,2914,325,31,546,35,Age50_59,SGSK
03/01/2022,FM,8886,3315,7738,40,992,97,Age50_59,SIICOV
03/01/2022,FM,1460,511,7950,80,722,66,Age50_59,SIN
03/01/2022,FM,9055,4322,3143,95,829,45,Age50_59,SPU
03/01/2022,FM,6755,253,2925,29,833,8,Age50_59,SPUL
03/01/2022,FM,8680,3351,8957,97,108,5,Age50_59,SRCVB
03/01/2022,FM,4157,1787,2429,47,668,30,Age50_59,WUCNBG
03/01/2022,FM,4534,1992,1833,2,94,77,Age50_59,CNBG
03/01/2022,FM,3446,5446,214,27,632,16,Age50_59,UNK
03/01/2022,FM,6136,6722,3672,21,129,51,Age50_59,ZFUZ
03/01/2022,FM,1493,2931,4553,20,870,72,Age60_69,AZ
03/01/2022,FM,4012,6801,6149,76,762,74,Age60_69,BECNBG
03/01/2022,FM,7681,6351,5766,2,489,5,Age60_69,BHACOV
03/01/2022,FM,2601,6470,6059,3,398,70,Age60_69,CHU
03/01/2022,FM,9382,7576,6614,32,199,75,Age60_69,COM
03/01/2022,FM,4178,2754,1176,97,265,58,Age60_69,CVAC
03/01/2022,FM,4402,299,6037,2,541,48,Age60_69,JANSS
03/01/2022,FM,4490,3153,8495,64,386,90,Age60_69,HAYATVAC
03/01/2022,FM,6076,6270,6885,25,960,44,Age60_69,MOD
03/01/2022,FM,6106,8118,3995,19,589,54,Age60_69,NVX
03/01/2022,FM,3188,4803,6828,23,181,33,Age60_69,NVXD
03/01/2022,FM,9561,3815,4897,33,995,28,Age60_69,QAZVAQ
03/01/2022,FM,3029,7681,6193,44,46,77,Age60_69,SGSK
03/01/2022,FM,5994,4995,4134,25,250,8,Age60_69,SIICOV
03/01/2022,FM,3295,5297,3694,54,707,12,Age60_69,SIN
03/01/2022,FM,7474,222,901,41,904,28,Age60_69,SPU
03/01/2022,FM,224,1289,2418,79,158,43,Age60_69,SPUL
03/01/2022,FM,8782,3195,7959,75,802,83,Age60_69,SRCVB
03/01/2022,FM,2800,8674,3740,18,279,51,Age60_69,WUCNBG
03/01/2022,FM,29,9133,992,99,763,80,Age60_69,CNBG
03/01/2022,FM,6537,6959,973,91,50,96,Age60_69,UNK
03/01/2022,FM,7085,359,7648,22,186,47,Age60_69,ZFUZ
03/01/2022,FM,6294,6764,4450,88,115,69,Age70_79,AZ
03/01/2022,FM,6603,2251,7454,79,179,47,Age70_79,BECNBG
03/01/2022,FM,4961,9653,1938,89,993,69,Age70_79,BHACOV
03/01/2022,FM,4084,8285,6808,17,48,12,Age70_79,CHU
03/01/2022,FM,8396,8149,5004,16,520,39,Age70_79,COM
03/01/2022,FM,1746,1193,1609,17,489,25,Age70_79,CVAC
03/01/2022,FM,3834,414,6329,27,891,30,Age70_79,JANSS
03/01/2022,FM,4028,4370,1516,15,294,23,Age70_79,HAYATVAC
03/01/2022,FM,4963,1898,723,23,972,69,Age70_79,MOD
03/01/2022,FM,9942,8206,2560,8,357,69,Age70_79,NVX
03/01/2022,FM,2969,25,8905,98,686,55,Age70_79,NVXD
03/01/2022,FM,6424,123,3238,25,645,93,Age70_79,QAZVAQ
03/01/2022,FM,6372,6111,8996,49,136,29,Age70_79,SGSK
03/01/2022,FM,7588,2440,8152,81,242,55,Age70_79,SIICOV
03/01/2022,FM,5259,4202,6812,58,77,78,Age70_79,SIN
03/01/2022,FM,6568,6471,5462,1,146,35,Age70_79,SPU
03/01/2022,FM,9040,1830,1664,9,8,46,Age70_79,SPUL
03/01/2022,FM,904,8960,9142,54,345,55,Age70_79,SRCVB
03/01/2022,FM,8852,7786,1036,28,723,53,Age70_79,WUCNBG
03/01/2022,FM,4443,3639,1031,31,247,97,Age70_79,CNBG
03/01/2022,FM,3850,4632,8401,72,525,20,Age70_79,UNK
03/01/2022,FM,4749,383,3997,5,180,82,Age70_79,ZFUZ
03/01/2022,FM,7129,5010,8590,61,106,67,Age80+,AZ
03/01/2022,FM,4269,2505,8056,69,718,65,Age80+,BECNBG
03/01/2022,FM,9767,9107,4553,38,36,44,Age80+,BHACOV
03/01/2022,FM,6038,6788,6952,90,785,54,Age80+,CHU
03/01/2022,FM,1287,6367,694,8,893,38,Age80+,COM
03/01/2022,FM,1846,7296,1532,90,968,71,Age80+,CVAC
03/01/2022,FM,8100,480,1534,81,125,21,Age80+,JANSS
03/01/2022,FM,2017,3560,8303,58,289,93,Age80+,HAYATVAC
03/01/2022,FM,7165,7227,5974,11,703,43,Age80+,MOD
03/01/2022,FM,1075,8020,9717,71,605,5,Age80+,NVX
03/01/2022,FM,1669,3071,422,10,587,97,Age80+,NVXD
03/01/2022,FM,2014,722,5952,55,464,29,Age80+,QAZVAQ
03/01/2022,FM,4672,4163,2819,89,793,53,Age80+,SGSK
03/01/2022,FM,5301,3362,9207,26,892,34,Age80+,SIICOV
03/01/2022,FM,3795,5272,9087,78,490,9,Age80+,SIN
03/01/2022,FM,5137,567,2959,91,562,88,Age80+,SPU
03/01/2022,FM,7574,939,1239,76,346,16,Age80+,SPUL
03/01/2022,FM,4300,9945,466,2,911,88,Age80+,SRCVB
03/01/2022,FM,3058,8084,8196,20,942,63,Age80+,WUCNBG
03/01/2022,FM,7467,929,1538,63,72,58,Age80+,CNBG
03/01/2022,FM,3536,7588,3275,2,36,32,Age80+,UNK
03/01/2022,FM,4272,8016,2115,6,136,51,Age80+,ZFUZ
03/01/2022,FM,8426,7962,6397,22,684,24,AgeUnk,AZ
03/01/2022,FM,5383,5269,9665,49,139,10,AgeUnk,BECNBG
03/01/2022,FM,8021,2721,8735,84,680,92,AgeUnk,BHACOV
03/01/2022,FM,4420,3530,5856,53,654,50,AgeUnk,CHU
03/01/2022,FM,5607,3045,6350,46,415,42,AgeUnk,COM
03/01/2022,FM,8041,778,2168,2,820,48,AgeUnk,CVAC
03/01/2022,FM,8841,7874,876,91,612,96,AgeUnk,JANSS
03/01/2022,FM,9542,9477,6917,8,668,52,AgeUnk,HAYATVAC
03/01/2022,FM,7037,9872,2022,76,395,10,AgeUnk,MOD
03/01/2022,FM,9350,9702,7662,32,164,21,AgeUnk,NVX
03/01/2022,FM,1047,9125,9051,69,725,20,AgeUnk,NVXD
03/01/2022,FM,8783,5726,4565,36,483,73,AgeUnk,QAZVAQ
03/01/2022,FM,5045,6608,240,5,73,61,AgeUnk,SGSK
03/01/2022,FM,4509,1535,4552,28,638,39,AgeUnk,SIICOV
03/01/2022,FM,1428,1707,8692,54,568,56,AgeUnk,SIN
03/01/2022,FM,3415,8677,8619,59,291,13,AgeUnk,SPU
03/01/2022,FM,6200,2007,4728,54,92,30,AgeUnk,SPUL
03/01/2022,FM,6321,7257,9042,91,329,61,AgeUnk,SRCVB
03/01/2022,FM,1117,9269,9627,98,290,6,AgeUnk,WUCNBG
03/01/2022,FM,9835,3650,3240,76,8,34,AgeUnk,CNBG
03/01/2022,FM,4823,9281,1629,33,348,55,AgeUnk,UNK
03/01/2022,FM,1738,7801,2589,5,207,34,AgeUnk,ZFUZ
03/01/2022,FM,1551,6149,9521,58,393,55,1_Age<60,AZ
03/01/2022,FM,4550,176,2430,66,992,63,1_Age<60,BECNBG
03/01/2022,FM,5928,2414,5271,17,340,93,1_Age<60,BHACOV
03/01/2022,FM,7979,5941,4225,99,56,10,1_Age<60,CHU
03/01/2022,FM,2554,2753,68,55,540,94,1_Age<60,COM
03/01/2022,FM,3715,3110,4895,91,57,44,1_Age<60,CVAC
03/01/2022,FM,1503,1654,2055,21,526,87,1_Age<60,JANSS
03/01/2022,FM,4128,4070,7013,83,989,71,1_Age<60,HAYATVAC
03/01/2022,FM,5459,5111,4111,45,472,9,1_Age<60,MOD
03/01/2022,FM,4547,3786,4370,73,569,69,1_Age<60,NVX
03/01/2022,FM,8913,1045,3268,20,620,22,1_Age<60,NVXD
03/01/2022,FM,9362,3436,3012,79,71,49,1_Age<60,QAZVAQ
03/01/2022,FM,5309,7740,9166,42,10,55,1_Age<60,SGSK
03/01/2022,FM,7667,3814,3421,96,541,13,1_Age<60,SIICOV
03/01/2022,FM,9493,3284,6586,15,940,7,1_Age<60,SIN
03/01/2022,FM,103,6391,9249,67,628,23,1_Age<60,SPU
03/01/2022,FM,5143,9639,2856,39,897,76,1_Age<60,SPUL
03/01/2022,FM,6928,9781,3281,7,52,6,1_Age<60,SRCVB
03/01/2022,FM,9816,9914,9907,37,720,6,1_Age<60,WUCNBG
03/01/2022,FM,1687,4284,4385,26,501,100,1_Age<60,CNBG
03/01/2022,FM,5359,1563,563,5,238,94,1_Age<60,UNK
03/01/2022,FM,9658,2504,7350,97,853,79,1_Age<60,ZFUZ
03/01/2022,FM,2503,1394,2643,70,894,80,1_Age60+,AZ
03/01/2022,FM,5420,1665,8378,38,41,33,1_Age60+,BECNBG
03/01/2022,FM,4692,5450,465,45,152,25,1_Age60+,BHACOV
03/01/2022,FM,4592,5189,6055,10,933,50,1_Age60+,CHU
03/01/2022,FM,3622,7508,4310,21,797,29,1_Age60+,COM
03/01/2022,FM,3173,249,5975,88,525,21,1_Age60+,CVAC
03/01/2022,FM,1793,8791,6821,11,373,0,1_Age60+,JANSS
03/01/2022,FM,8135,8373,211,39,868,82,1_Age60+,HAYATVAC
03/01/2022,FM,1735,9870,6146,35,583,8,1_Age60+,MOD
03/01/2022,FM,5339,4918,2233,23,848,52,1_Age60+,NVX
03/01/2022,FM,3417,2062,3325,84,836,32,1_Age60+,NVXD
03/01/2022,FM,3779,4379,9904,43,634,68,1_Age60+,QAZVAQ
03/01/2022,FM,8494,1979,368,33,763,76,1_Age60+,SGSK
03/01/2022,FM,3057,7826,593,62,742,43,1_Age60+,SIICOV
03/01/2022,FM,285,8034,1542,63,895,60,1_Age60+,SIN
03/01/2022,FM,7166,6330,2922,33,1000,9,1_Age60+,SPU
03/01/2022,FM,7284,2756,3689,94,730,29,1_Age60+,SPUL
03/01/2022,FM,37,3108,562,79,411,37,1_Age60+,SRCVB
03/01/2022,FM,2010,7367,8466,72,925,95,1_Age60+,WUCNBG
03/01/2022,FM,2575,7754,1286,69,488,93,1_Age60+,CNBG
03/01/2022,FM,657,9755,9906,64,859,50,1_Age60+,UNK
03/01/2022,FM,8080,8763,2259,66,85,59,1_Age60+,ZFUZ
03/01/2022,GG,5565,1561,1544,18,894,24,ALL,AZ
03/01/2022,GG,975,4685,200,30,48,86,ALL,BECNBG
03/01/2022,GG,6049,4417,3153,18,101,62,ALL,BHACOV
03/01/2022,GG,7999,7255,6216,25,527,53,ALL,CHU
03/01/2022,GG,4649,4469,6760,40,185,79,ALL,COM
03/01/2022,GG,7776,96,568,0,725,63,ALL,CVAC
03/01/2022,GG,8935,3215,6385,23,293,11,ALL,JANSS
03/01/2022,GG,826,2370,9102,4,696,7,ALL,HAYATVAC
03/01/2022,GG,4407,4480,4526,78,36,71,ALL,MOD
03/01/2022,GG,3055,1404,3090,23,578,85,ALL,NVX
03/01/2022,GG,3274,1219,1693,54,313,19,ALL,NVXD
03/01/2022,GG,2178,3621,9151,98,773,93,ALL,QAZVAQ
03/01/2022,GG,5058,9948,6552,26,545,80,ALL,SGSK
03/01/2022,GG,5333,1881,4691,63,617,43,ALL,SIICOV
03/01/2022,GG,8785,7196,121,91,982,99,ALL,SIN
